agent,training_step,episode,score
Baseline,100000,1,2.0
Baseline,100000,2,4.0
Baseline,100000,3,4.0
Baseline,100000,4,4.0
Baseline,100000,5,4.0
Baseline,100000,6,1.0
Baseline,100000,7,4.0
Baseline,100000,8,3.0
Baseline,100000,9,3.0
Baseline,100000,10,2.0
Baseline,200000,1,20.0
Baseline,200000,2,2.0
Baseline,200000,3,2.0
Baseline,200000,4,1.0
Baseline,200000,5,1.0
Baseline,200000,6,1.0
Baseline,200000,7,1.0
Baseline,200000,8,1.0
Baseline,200000,9,9.0
Baseline,200000,10,1.0
Baseline,300000,1,10.0
Baseline,300000,2,3.0
Baseline,300000,3,8.0
Baseline,300000,4,5.0
Baseline,300000,5,3.0
Baseline,300000,6,10.0
Baseline,300000,7,4.0
Baseline,300000,8,7.0
Baseline,300000,9,14.0
Baseline,300000,10,5.0
Baseline,400000,1,15.0
Baseline,400000,2,11.0
Baseline,400000,3,18.0
Baseline,400000,4,23.0
Baseline,400000,5,8.0
Baseline,400000,6,11.0
Baseline,400000,7,8.0
Baseline,400000,8,8.0
Baseline,400000,9,12.0
Baseline,400000,10,10.0
Baseline,500000,1,11.0
Baseline,500000,2,18.0
Baseline,500000,3,18.0
Baseline,500000,4,20.0
Baseline,500000,5,12.0
Baseline,500000,6,12.0
Baseline,500000,7,29.0
Baseline,500000,8,10.0
Baseline,500000,9,18.0
Baseline,500000,10,19.0
Baseline,600000,1,20.0
Baseline,600000,2,20.0
Baseline,600000,3,20.0
Baseline,600000,4,23.0
Baseline,600000,5,30.0
Baseline,600000,6,19.0
Baseline,600000,7,27.0
Baseline,600000,8,24.0
Baseline,600000,9,14.0
Baseline,600000,10,37.0
Heuristic shaped-reward,100000,1,1.0
Heuristic shaped-reward,100000,2,7.0
Heuristic shaped-reward,100000,3,5.0
Heuristic shaped-reward,100000,4,5.0
Heuristic shaped-reward,100000,5,5.0
Heuristic shaped-reward,100000,6,1.0
Heuristic shaped-reward,100000,7,5.0
Heuristic shaped-reward,100000,8,0.0
Heuristic shaped-reward,100000,9,4.0
Heuristic shaped-reward,100000,10,3.0
Heuristic shaped-reward,200000,1,9.0
Heuristic shaped-reward,200000,2,12.0
Heuristic shaped-reward,200000,3,8.0
Heuristic shaped-reward,200000,4,7.0
Heuristic shaped-reward,200000,5,9.0
Heuristic shaped-reward,200000,6,2.0
Heuristic shaped-reward,200000,7,10.0
Heuristic shaped-reward,200000,8,7.0
Heuristic shaped-reward,200000,9,6.0
Heuristic shaped-reward,200000,10,5.0
Heuristic shaped-reward,300000,1,11.0
Heuristic shaped-reward,300000,2,11.0
Heuristic shaped-reward,300000,3,11.0
Heuristic shaped-reward,300000,4,17.0
Heuristic shaped-reward,300000,5,11.0
Heuristic shaped-reward,300000,6,11.0
Heuristic shaped-reward,300000,7,19.0
Heuristic shaped-reward,300000,8,11.0
Heuristic shaped-reward,300000,9,9.0
Heuristic shaped-reward,300000,10,16.0
Heuristic shaped-reward,400000,1,12.0
Heuristic shaped-reward,400000,2,19.0
Heuristic shaped-reward,400000,3,13.0
Heuristic shaped-reward,400000,4,17.0
Heuristic shaped-reward,400000,5,14.0
Heuristic shaped-reward,400000,6,14.0
Heuristic shaped-reward,400000,7,10.0
Heuristic shaped-reward,400000,8,15.0
Heuristic shaped-reward,400000,9,16.0
Heuristic shaped-reward,400000,10,10.0
