agent,training_step,checkpoint,source_dir,frame_skip,episodes,eval_epsilon,mean_score,std_score,min_score,max_score
Baseline,100000,C:\Users\khanh\Documents\ai\ai_asignment3\runs_breakout\Breakout_frame_skip_20260523_224900\frame_skip_4\breakout_frame_skip_4_step_100000.pt,C:\Users\khanh\Documents\ai\ai_asignment3\runs_breakout\Breakout_frame_skip_20260523_224900\frame_skip_4,4,10,0.0,3.1,1.044030650891055,1.0,4.0
Baseline,200000,C:\Users\khanh\Documents\ai\ai_asignment3\runs_breakout\Breakout_frame_skip_20260523_224900\frame_skip_4\breakout_frame_skip_4_step_200000.pt,C:\Users\khanh\Documents\ai\ai_asignment3\runs_breakout\Breakout_frame_skip_20260523_224900\frame_skip_4,4,10,0.0,3.9,5.855766388782941,1.0,20.0
Baseline,300000,C:\Users\khanh\Documents\ai\ai_asignment3\runs_breakout\Breakout_frame_skip_20260523_224900\frame_skip_4\breakout_frame_skip_4_step_300000.pt,C:\Users\khanh\Documents\ai\ai_asignment3\runs_breakout\Breakout_frame_skip_20260523_224900\frame_skip_4,4,10,0.0,6.9,3.4190641994557516,3.0,14.0
Baseline,400000,C:\Users\khanh\Documents\ai\ai_asignment3\runs_breakout\Breakout_frame_skip_20260523_224900\frame_skip_4\breakout_frame_skip_4_step_400000.pt,C:\Users\khanh\Documents\ai\ai_asignment3\runs_breakout\Breakout_frame_skip_20260523_224900\frame_skip_4,4,10,0.0,12.4,4.673328578219169,8.0,23.0
Baseline,500000,C:\Users\khanh\Documents\ai\ai_asignment3\runs_breakout\Breakout_frame_skip_20260523_224900\frame_skip_4\breakout_frame_skip_4_step_500000.pt,C:\Users\khanh\Documents\ai\ai_asignment3\runs_breakout\Breakout_frame_skip_20260523_224900\frame_skip_4,4,10,0.0,16.7,5.4230987451825,10.0,29.0
Baseline,600000,C:\Users\khanh\Documents\ai\ai_asignment3\runs_breakout\Breakout_frame_skip_20260523_224900\frame_skip_4\breakout_frame_skip_4_step_600000.pt,C:\Users\khanh\Documents\ai\ai_asignment3\runs_breakout\Breakout_frame_skip_20260523_224900\frame_skip_4,4,10,0.0,23.4,6.2,14.0,37.0
Heuristic shaped-reward,100000,C:\Users\khanh\Documents\ai\ai_asignment3\runs_breakout_shaped\Breakout-v5_shaped_20260524_192115\breakout_shaped_step_100000.pt,C:\Users\khanh\Documents\ai\ai_asignment3\runs_breakout_shaped\Breakout-v5_shaped_20260524_192115,4,10,0.0,3.6,2.1540659228538015,0.0,7.0
Heuristic shaped-reward,200000,C:\Users\khanh\Documents\ai\ai_asignment3\runs_breakout_shaped\Breakout-v5_shaped_20260524_192115\breakout_shaped_step_200000.pt,C:\Users\khanh\Documents\ai\ai_asignment3\runs_breakout_shaped\Breakout-v5_shaped_20260524_192115,4,10,0.0,7.5,2.6551836094703507,2.0,12.0
Heuristic shaped-reward,300000,C:\Users\khanh\Documents\ai\ai_asignment3\runs_breakout_shaped\Breakout-v5_shaped_20260524_192115\breakout_shaped_step_300000.pt,C:\Users\khanh\Documents\ai\ai_asignment3\runs_breakout_shaped\Breakout-v5_shaped_20260524_192115,4,10,0.0,12.7,3.1638584039112754,9.0,19.0
Heuristic shaped-reward,400000,C:\Users\khanh\Documents\ai\ai_asignment3\runs_breakout_shaped\Breakout-v5_shaped_20260524_192115\breakout_shaped_step_400000.pt,C:\Users\khanh\Documents\ai\ai_asignment3\runs_breakout_shaped\Breakout-v5_shaped_20260524_192115,4,10,0.0,14.0,2.756809750418044,10.0,19.0
