agent,training_step,episode,score
Baseline,100000,1,-21.0
Baseline,100000,2,-20.0
Baseline,100000,3,-20.0
Baseline,100000,4,-20.0
Baseline,100000,5,-20.0
Baseline,100000,6,-21.0
Baseline,100000,7,-20.0
Baseline,100000,8,-20.0
Baseline,100000,9,-21.0
Baseline,100000,10,-21.0
Baseline,300000,1,-21.0
Baseline,300000,2,-21.0
Baseline,300000,3,-21.0
Baseline,300000,4,-19.0
Baseline,300000,5,-20.0
Baseline,300000,6,-18.0
Baseline,300000,7,-21.0
Baseline,300000,8,-20.0
Baseline,300000,9,-21.0
Baseline,300000,10,-20.0
Baseline,600000,1,-15.0
Baseline,600000,2,-15.0
Baseline,600000,3,-15.0
Baseline,600000,4,-15.0
Baseline,600000,5,-18.0
Baseline,600000,6,-20.0
Baseline,600000,7,-17.0
Baseline,600000,8,-15.0
Baseline,600000,9,-16.0
Baseline,600000,10,-13.0
Baseline,1200000,1,-10.0
Baseline,1200000,2,-10.0
Baseline,1200000,3,-3.0
Baseline,1200000,4,-8.0
Baseline,1200000,5,-11.0
Baseline,1200000,6,-10.0
Baseline,1200000,7,-6.0
Baseline,1200000,8,-1.0
Baseline,1200000,9,2.0
Baseline,1200000,10,5.0
Baseline,1800000,1,10.0
Baseline,1800000,2,18.0
Baseline,1800000,3,11.0
Baseline,1800000,4,13.0
Baseline,1800000,5,12.0
Baseline,1800000,6,4.0
Baseline,1800000,7,13.0
Baseline,1800000,8,11.0
Baseline,1800000,9,8.0
Baseline,1800000,10,6.0
Heuristic shaped-reward,100000,1,-21.0
Heuristic shaped-reward,100000,2,-20.0
Heuristic shaped-reward,100000,3,-21.0
Heuristic shaped-reward,100000,4,-20.0
Heuristic shaped-reward,100000,5,-21.0
Heuristic shaped-reward,100000,6,-20.0
Heuristic shaped-reward,100000,7,-20.0
Heuristic shaped-reward,100000,8,-21.0
Heuristic shaped-reward,100000,9,-21.0
Heuristic shaped-reward,100000,10,-21.0
Heuristic shaped-reward,300000,1,-21.0
Heuristic shaped-reward,300000,2,-21.0
Heuristic shaped-reward,300000,3,-17.0
Heuristic shaped-reward,300000,4,-21.0
Heuristic shaped-reward,300000,5,-21.0
Heuristic shaped-reward,300000,6,-17.0
Heuristic shaped-reward,300000,7,-16.0
Heuristic shaped-reward,300000,8,-20.0
Heuristic shaped-reward,300000,9,-15.0
Heuristic shaped-reward,300000,10,-18.0
Heuristic shaped-reward,600000,1,-11.0
Heuristic shaped-reward,600000,2,-10.0
Heuristic shaped-reward,600000,3,-13.0
Heuristic shaped-reward,600000,4,-10.0
Heuristic shaped-reward,600000,5,-4.0
Heuristic shaped-reward,600000,6,-18.0
Heuristic shaped-reward,600000,7,-9.0
Heuristic shaped-reward,600000,8,-12.0
Heuristic shaped-reward,600000,9,-8.0
Heuristic shaped-reward,600000,10,-8.0
Heuristic shaped-reward,1200000,1,-12.0
Heuristic shaped-reward,1200000,2,-8.0
Heuristic shaped-reward,1200000,3,-7.0
Heuristic shaped-reward,1200000,4,-2.0
Heuristic shaped-reward,1200000,5,1.0
Heuristic shaped-reward,1200000,6,-14.0
Heuristic shaped-reward,1200000,7,-7.0
Heuristic shaped-reward,1200000,8,-6.0
Heuristic shaped-reward,1200000,9,-3.0
Heuristic shaped-reward,1200000,10,-10.0
Heuristic shaped-reward,1800000,1,4.0
Heuristic shaped-reward,1800000,2,3.0
Heuristic shaped-reward,1800000,3,2.0
Heuristic shaped-reward,1800000,4,12.0
Heuristic shaped-reward,1800000,5,7.0
Heuristic shaped-reward,1800000,6,5.0
Heuristic shaped-reward,1800000,7,9.0
Heuristic shaped-reward,1800000,8,13.0
Heuristic shaped-reward,1800000,9,8.0
Heuristic shaped-reward,1800000,10,12.0
